"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2 aanvullingen"
"06/20/2019 15:15:56:389 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"132","16","50","512","1","8","true","community","1","21","0","true","136","33","479","0","0","no trust","2048","0.016483591406040835","1610861","283","136"
"134","16","50","512","1","10","true","community","1","21","0","true","129","52","460","0","0","no trust","2560","0.01762693577452067","2043846","618","129"
"106","16","50","512","1","18","true","community","1","36","0","true","5000","145","0","234","133","","4608","0.03480640789012646","1469525722","298103","5000"
"133","16","50","512","0.8","10","true","community","1","21","0","true","323","62","450","0","0","no trust","2560","0.01891345119730737","1871806","484","323"
"107","16","50","512","0.8","20","true","community","1","36","0","true","5000","159","0","226","127","","5120","0.039904597412392204","1359498794","304271","5000"
"135","16","50","512","0.8","12","true","community","1","21","0","true","165","43","469","0","0","no trust","3072","0.02387026734373677","1425678","240","165"
"108","16","50","512","1","20","true","community","1","36","0","true","5000","148","0","238","126","","5120","0.039071284369273485","1305955560","301541","5000"
"137","16","50","512","0.8","14","true","community","1","21","0","true","101","30","478","0","4","no trust","3584","0.0303537621491491","1728716","1389","101"
"138","16","50","512","1","14","true","community","1","21","0","true","97","11","501","0","0","no trust","3584","0.025916623964993595","1379134","453","97"
"140","16","50","512","1","16","true","community","1","21","0","true","77","26","484","0","2","no trust","4096","0.030510034367671517","1624725","2634","77"
"136","16","50","512","1","12","true","community","1","21","0","true","253","44","468","0","0","no trust","3072","0.025974273464584103","1706270","215","253"
"139","16","50","512","0.8","16","true","community","1","21","0","true","120","48","464","0","0","no trust","4096","0.032258833210435434","1557689","438","120"
"141","16","50","512","0.8","18","true","community","1","21","0","true","74","26","486","0","0","no trust","4608","0.03426581719141604","1284922","1931","74"
"142","16","50","512","1","18","true","community","1","21","0","true","85","17","495","0","0","no trust","4608","0.034450366129635215","1248744","995","85"
"131","16","50","512","0.8","8","true","community","1","21","0","true","838","255","0","257","0","only trust","2048","0.017553968384046506","32483693","303512","838"
"144","16","50","512","1","20","true","community","1","21","0","true","90","35","477","0","0","no trust","5120","0.037548143061790204","1527842","1095","90"
"143","16","50","512","0.8","20","true","community","1","21","0","true","111","39","473","0","0","no trust","5120","0.040257541399596065","1385815","256","111"
"149","16","50","512","0.8","8","true","community","1","24","0","true","215","58","454","0","0","no trust","2048","0.015518983033918674","2856760","323","215"
"148","16","50","512","1","6","true","community","1","24","0","true","513","251","0","261","0","only trust","1536","0.01409675394050393","42483338","341876","513"
"151","16","50","512","0.8","10","true","community","1","24","0","true","505","262","0","250","0","only trust","2560","0.020632795134083108","34395144","343255","505"
"153","16","50","512","0.8","12","true","community","1","24","0","true","87","27","485","0","0","no trust","3072","0.021850203894881813","1488218","1486","87"
"150","16","50","512","1","8","true","community","1","24","0","true","893","250","0","262","0","only trust","2048","0.015257809809165487","44051932","352615","893"
"152","16","50","512","1","10","true","community","1","24","0","true","419","268","0","244","0","only trust","2560","0.015745079831615952","31443280","341065","419"
"155","16","50","512","0.8","14","true","community","1","24","0","true","79","25","486","0","1","no trust","3584","0.027047247741495726","1930096","3507","79"
"156","16","50","512","1","14","true","community","1","24","0","true","99","39","473","0","0","no trust","3584","0.02888342556015275","2423518","1499","99"
"158","16","50","512","1","16","true","community","1","24","0","true","143","25","487","0","0","no trust","4096","0.032849960681496565","1806514","275","143"
"157","16","50","512","0.8","16","true","community","1","24","0","true","291","63","449","0","0","no trust","4096","0.03304851271839824","2713290","224","291"
"160","16","50","512","1","18","true","community","1","24","0","true","73","35","476","0","1","no trust","4608","0.03502394021307825","1906960","4093","73"
"159","16","50","512","0.8","18","true","community","1","24","0","true","196","52","460","0","0","no trust","4608","0.03494191462650416","2219296","182","196"
"154","16","50","512","1","12","true","community","1","24","0","true","589","258","0","254","0","only trust","3072","0.024094924045521476","26692666","328492","589"
"162","16","50","512","1","20","true","community","1","24","0","true","85","19","493","0","0","no trust","5120","0.03967507840580223","1211120","928","85"
"161","16","50","512","0.8","20","true","community","1","24","0","true","123","44","468","0","0","no trust","5120","0.039254154186850514","1777522","440","123"
"127","16","50","512","0.8","4","true","community","1","21","0","true","5000","257","2","251","2","","1024","0.0064437624007936505","1288814348","275033","5000"
"128","16","50","512","1","4","true","community","1","21","0","true","5000","258","2","248","4","","1024","0.008813864087301587","1299609935","281686","5000"
"165","16","50","512","0.8","6","true","community","1","27","0","true","2055","267","0","245","0","only trust","1536","0.011418139152514148","169587930","375906","2055"
"166","16","50","512","1","6","true","community","1","27","0","true","441","264","0","248","0","only trust","1536","0.008698411027799809","37051463","373566","441"
"169","16","50","512","0.8","10","true","community","1","27","0","true","310","40","472","0","0","no trust","2560","0.021268283539108812","4001343","153","310"
"167","16","50","512","0.8","8","true","community","1","27","0","true","696","266","0","246","0","only trust","2048","0.013323566174644917","51985580","374712","696"
"171","16","50","512","0.8","12","true","community","1","27","0","true","240","26","486","0","0","no trust","3072","0.02556792343086316","2061912","159","240"
"145","16","50","512","0.8","4","true","community","1","24","0","true","5000","237","1","270","4","","1024","0.009618083739177491","1510852564","323446","5000"
"146","16","50","512","1","4","true","community","1","24","0","true","5000","31","472","3","6","","1024","0.005151120580808081","1511484","0","5000"
"170","16","50","512","1","10","true","community","1","27","0","true","435","257","0","255","0","only trust","2560","0.020391220686706766","33959733","381705","435"
"147","16","50","512","0.8","6","true","community","1","24","0","true","5000","252","1","257","2","","1536","0.012364458458208456","1656887030","345378","5000"
"172","16","50","512","1","12","true","community","1","27","0","true","367","261","0","251","0","only trust","3072","0.02199465742631016","28129522","373453","367"
"176","16","50","512","1","16","true","community","1","27","0","true","140","49","463","0","0","no trust","4096","0.030754172356595385","3479836","497","140"
"177","16","50","512","0.8","18","true","community","1","27","0","true","153","39","473","0","0","no trust","4608","0.03603404850118672","2091680","345","153"
"174","16","50","512","1","14","true","community","1","27","0","true","506","264","0","248","0","only trust","3584","0.026888432000005166","29147457","378152","506"
