"BehaviorSpace results (NetLogo 6.0.4)"
"Simulation fixed.nlogo"
"experiment Poging 2"
"06/12/2019 12:56:48:685 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","n-of-communities","revision-frequency","n-of-nodes","prob-rewiring","avg-degree","always-connect-communities?","network-model","link-radius","Reward","noise","stop-when-done?","[step]","count turtles with [strategy = 1]","count turtles with [strategy = 2]","count turtles with [strategy = 3]","count turtles with [strategy = 4]","exit-code","n-of-links","avg-clustering-coefficient","total-payoffs","walking-average-payoff","ticks"
"190","16","50","512","0.05","20","true","community","1","27","0","true","90","27","483","0","2","no trust","5120","0.48559922538764816","2477380","2551","90"
"175","16","50","512","0.05","20","true","community","1","21","0","true","657","258","0","254","0","only trust","5120","0.4786365816378268","41688752","285117","657"
"192","16","50","512","0.05","20","true","community","1","27","0","true","88","24","488","0","0","no trust","5120","0.4702371053630569","2282499","1997","88"
"195","16","50","512","0.05","20","true","community","1","30","0","true","153","34","478","0","0","no trust","5120","0.48179442750802115","3418900","1117","153"
"194","16","50","512","0.05","20","true","community","1","30","0","true","164","19","493","0","0","no trust","5120","0.4840651370116689","3638960","672","164"
"198","16","50","512","0.05","20","true","community","1","30","0","true","194","22","490","0","0","no trust","5120","0.47993600164574113","6019870","784","194"
"191","16","50","512","0.05","20","true","community","1","27","0","true","477","256","0","256","0","only trust","5120","0.4803204564891958","44715233","364636","477"
"196","16","50","512","0.05","20","true","community","1","30","0","true","433","262","0","250","0","only trust","5120","0.4684635015679276","43530560","402396","433"
"193","16","50","512","0.05","20","true","community","1","30","0","true","480","253","0","259","0","only trust","5120","0.4879305982585994","48701190","409380","480"
"197","16","50","512","0.05","20","true","community","1","30","0","true","316","257","0","255","0","only trust","5120","0.47644266560326504","37041440","394995","316"
"200","16","50","512","0.05","20","true","community","1","30","0","true","150","19","493","0","0","no trust","5120","0.471583624256831","2596710","270","150"
"199","16","50","512","0.05","20","true","community","1","30","0","true","332","257","0","255","0","only trust","5120","0.4641255413873718","41835860","397176","332"
"203","16","50","512","0.05","20","true","community","1","33","0","true","230","32","480","0","0","no trust","5120","0.4718599646903662","6267569","407","230"
"201","16","50","512","0.05","20","true","community","1","33","0","true","301","19","493","0","0","no trust","5120","0.48042075970461307","10975794","702","301"
